,naf_distance,naf_velocity
672,-8.355999999999852,2.9825
673,-7.365999999999815,2.9904
674,-6.375999999999777,2.945
675,-5.38599999999974,3.4598
676,-4.39600000000047,3.5987
677,-3.4060000000004607,5.0418
678,-180.0,-19.838
679,-178.99900000000036,-17.7968
680,-178.00900000000036,-20.2482
681,-177.0190000000003,-20.9532
682,-176.02900000000028,-20.6841
683,-175.03900000000021,-18.4586
684,-174.03799999999984,-16.9208
685,-172.05799999999977,-19.1356
686,-171.0680000000005,-19.2063
687,-170.07800000000046,-19.2678
688,-169.08800000000042,-17.7415
689,-168.08700000000002,-17.3985
690,-167.09699999999998,-20.191
691,-166.10699999999994,-20.0189
692,-165.1169999999999,-19.9149
693,-164.12699999999987,-21.0792
694,-163.12600000000026,-27.2541
695,-162.1360000000002,-22.4434
696,-161.14600000000019,-18.9438
697,-160.15600000000012,-15.7722
698,-159.1660000000001,-18.681
699,-158.16500000000048,-20.3404
700,-157.17500000000044,-20.2732
701,-156.1850000000004,-19.5768
702,-155.19500000000036,-21.8352
703,-154.20500000000033,-23.5537
704,-153.20399999999992,-20.2722
705,-152.21399999999988,-20.5944
706,-151.22399999999985,-20.3189
707,-150.2339999999998,-19.9821
708,-149.24399999999977,-18.4864
709,-148.24300000000017,-18.6553
710,-147.2530000000001,-19.9841
711,-146.2630000000001,-24.7579
712,-145.27300000000002,-25.4093
713,-144.28300000000002,-24.2778
714,-143.29299999999995,-23.5551
715,-142.29200000000034,-20.4187
716,-141.3020000000003,-20.4046
717,-140.31200000000027,-22.4232
718,-139.32200000000023,-22.6239
719,-138.3320000000002,-21.3357
720,-137.3309999999998,-20.615
721,-136.34099999999975,-20.146
722,-135.3510000000005,-20.9864
723,-134.36100000000044,-20.1009
724,-133.37100000000044,-21.3659
725,-132.37,-23.0744
726,-131.38,-22.1517
727,-130.38999999999993,-20.431
728,-129.39999999999992,-20.2373
729,-128.40999999999985,-19.0762
730,-127.40900000000025,-17.3547
731,-126.41900000000021,-17.6265
732,-125.42900000000017,-16.9463
733,-124.43900000000014,-15.7774
734,-123.4490000000001,-15.7437
735,-122.45900000000006,-15.5588
736,-121.45800000000044,-17.0812
737,-120.4680000000004,-18.0377
738,-119.47800000000036,-18.8367
739,-118.48800000000033,-18.9382
740,-117.49800000000029,-18.2692
741,-116.49699999999989,-17.6823
742,-115.50699999999985,-17.0919
743,-114.51699999999981,-16.9385
744,-113.52699999999977,-17.7005
745,-112.53700000000052,-15.6238
746,-111.53600000000012,-13.3396
747,-110.54600000000008,-11.4733
748,-109.55600000000004,-13.692
749,-108.566,-13.9441
750,-107.57599999999996,-13.8546
751,-106.57500000000034,-14.477
752,-105.5850000000003,-16.823
753,-104.59500000000027,-17.2277
754,-103.60500000000023,-16.0724
755,-102.6150000000002,-14.0902
756,-101.61399999999979,-12.7127
757,-100.62399999999975,-15.3318
758,-99.6340000000005,-15.2199
759,-98.64400000000046,-16.109
760,-97.65400000000042,-18.079
761,-96.66400000000039,-18.294
762,-95.66299999999998,-16.9689
763,-94.67299999999994,-16.1758
764,-93.68299999999991,-15.4338
765,-92.69299999999987,-15.1379
766,-91.70299999999983,-15.3324
767,-90.70200000000021,-14.8281
768,-89.71200000000017,-14.642
769,-88.72200000000014,-14.1121
770,-87.7320000000001,-13.6212
771,-86.74200000000006,-10.9093
772,-85.74100000000044,-11.9543
773,-84.7510000000004,-14.7585
774,-83.76100000000037,-14.2968
775,-82.77100000000033,-11.2971
776,-81.78100000000029,-12.1858
777,-80.77999999999989,-12.6964
778,-79.78999999999985,-13.211
779,-78.79999999999981,-13.6921
780,-77.80999999999977,-14.1285
781,-76.81999999999974,-14.5958
782,-75.83000000000048,-14.7688
783,-74.82900000000008,-14.2911
784,-73.83900000000004,-13.9421
785,-72.849,-13.2433
786,-71.85899999999997,-13.2418
787,-70.86899999999993,-13.5196
788,-69.86800000000031,-13.4279
789,-68.87800000000027,-12.4797
790,-67.88800000000023,-11.6178
791,-66.8980000000002,-11.3187
792,-65.90800000000016,-11.101
793,-64.90699999999975,-11.4205
794,-63.9170000000005,-11.5173
795,-62.92700000000046,-9.8461
796,-61.937000000000424,-9.69
797,-60.947000000000386,-10.2455
798,-59.945999999999984,-10.3359
799,-58.955999999999946,-11.0697
800,-57.96599999999991,-10.5798
801,-56.97599999999987,-9.4891
802,-55.985999999999834,-8.5116
803,-54.98500000000021,-8.7812
804,-53.995000000000175,-10.6264
805,-53.00500000000014,-7.3866
806,-52.0150000000001,-4.5318
807,-51.02500000000006,-4.6335
808,-50.035000000000025,-4.606
809,-49.03400000000039,-3.937
810,-48.04400000000038,-4.0084
811,-47.054000000000315,-4.0219
812,-46.064000000000306,-1.828
813,-45.07400000000024,0.8113
814,-41.102999999999724,-4.487
815,-40.11300000000048,-3.8766
816,-39.11200000000008,-2.6764
817,-38.12200000000004,-1.9575
818,-37.132000000000005,-2.0251
819,-36.14199999999997,-1.6722
820,-35.15199999999993,-2.0004
821,-34.151000000000295,-0.6921
822,-33.161000000000286,0.411
823,-32.17100000000022,0.127
824,-31.18100000000021,0.6942
825,-30.191000000000145,0.7959
826,-29.18999999999977,0.0805
827,-28.2000000000005,0.8538
828,-27.210000000000463,1.3528
829,-26.220000000000425,1.0794
830,-25.230000000000388,0.951
831,-24.24000000000035,1.0359
832,-23.238999999999947,0.8101
833,-22.24899999999991,1.5728
834,-21.258999999999872,2.0323
835,-20.268999999999835,2.8794
